run,ar_order,ma_order,volatility_type,loss
6,1,4,inline,0.0016445086803287268
7,1,4,inline,0.0032523274421691895
8,1,4,inline,0.0029144668951630592
9,1,4,inline,0.004043836612254381
10,1,4,inline,0.0017977249808609486
11,1,4,inline,0.003859661752358079
12,1,4,inline,0.0042091659270226955
13,1,4,inline,0.002749649342149496
14,1,4,inline,0.005497380625456572
15,1,4,inline,0.007468969561159611
16,1,4,inline,0.002599411178380251
17,1,4,inline,0.004838672932237387
18,1,4,inline,0.002729567466303706
19,1,4,inline,0.0037234961055219173
20,1,4,inline,0.0038620103150606155
1,2,1,involatile,0.002277842490002513
2,2,1,involatile,0.0017687021754682064
3,2,1,involatile,0.004023288376629353
4,2,1,involatile,0.005840553902089596
5,2,1,involatile,0.001415748381987214
6,2,1,involatile,0.0012332285987213254
7,2,1,involatile,0.0020410639699548483
8,2,1,involatile,0.002034529345110059
9,2,1,involatile,0.0023659674916416407
10,2,1,involatile,0.0026631548535078764
11,2,1,involatile,0.003148257965222001
12,2,1,involatile,0.001934357569552958
13,2,1,involatile,0.0036208361852914095
14,2,1,involatile,0.0008243770571425557
15,2,1,involatile,0.00356758083216846
16,2,1,involatile,0.0021364360582083464
17,2,1,involatile,0.002208550227805972
18,2,1,involatile,0.001945873606018722
19,2,1,involatile,0.001992018660530448
20,2,1,involatile,0.003185797482728958
1,2,1,volatile,0.0047704982571303844
2,2,1,volatile,0.015803413465619087
3,2,1,volatile,0.004731977824121714
4,2,1,volatile,0.010177607648074627
5,2,1,volatile,0.02620219625532627
6,2,1,volatile,0.004521808587014675
7,2,1,volatile,0.01999051310122013
8,2,1,volatile,0.02215510606765747
9,2,1,volatile,0.00887334905564785
10,2,1,volatile,0.005884391255676746
11,2,1,volatile,0.009739818051457405
12,2,1,volatile,0.013849182054400444
13,2,1,volatile,0.02354639582335949
14,2,1,volatile,0.010895807296037674
15,2,1,volatile,0.01606486365199089
16,2,1,volatile,0.016162311658263206
17,2,1,volatile,0.012369437143206596
18,2,1,volatile,0.009276405908167362
19,2,1,volatile,0.0074189193546772
20,2,1,volatile,0.015117458999156952
1,2,1,inline,0.0023578887339681387
2,2,1,inline,0.003874375019222498
3,2,1,inline,0.0013140568044036627
4,2,1,inline,0.0024328557774424553
5,2,1,inline,0.003283741418272257
6,2,1,inline,0.002277262043207884
7,2,1,inline,0.003404824296012521
8,2,1,inline,0.0022326456382870674
9,2,1,inline,0.00777822732925415
