run,ar_order,ma_order,volatility_type,loss
15,3,1,volatile,0.019468242302536964
16,3,1,volatile,0.008308783173561096
17,3,1,volatile,0.005511753726750612
18,3,1,volatile,0.00445984210819006
19,3,1,volatile,0.008431332185864449
20,3,1,volatile,0.011782503686845303
1,3,2,volatile,0.03201930969953537
2,3,2,volatile,0.005042973440140486
3,3,2,volatile,0.013646358624100685
4,3,2,volatile,0.012146980501711369
5,3,2,volatile,0.006575870327651501
6,3,2,volatile,0.03422156348824501
7,3,2,volatile,0.023890869691967964
8,3,2,volatile,0.009785552509129047
9,3,2,volatile,0.024095943197607994
10,3,2,volatile,0.007697061635553837
11,3,2,volatile,0.011945746839046478
12,3,2,volatile,0.00589875178411603
13,3,2,volatile,0.005204830318689346
14,3,2,volatile,0.007424717303365469
15,3,2,volatile,0.00502354558557272
16,3,2,volatile,0.011913437396287918
17,3,2,volatile,0.012752318754792213
18,3,2,volatile,0.005631426814943552
19,3,2,volatile,0.008964143693447113
20,3,2,volatile,0.008559797890484333
1,4,1,volatile,0.0074546136893332005
1,4,1,volatile,0.033444564789533615
1,4,2,volatile,0.00665409117937088
1,4,3,volatile,0.01208529993891716
1,4,4,volatile,0.010259956121444702
1,1,4,volatile,0.006304953247308731
1,2,4,volatile,0.003656490007415414
1,3,4,volatile,0.012759552337229252
1,4,4,volatile,0.01859326846897602
1,1,4,volatile,0.02647889405488968
2,1,4,volatile,0.022675350308418274
3,1,4,volatile,0.010735676623880863
4,1,4,volatile,0.011773335747420788
5,1,4,volatile,0.006680426187813282
6,1,4,volatile,0.004124929662793875
7,1,4,volatile,0.02725871466100216
8,1,4,volatile,0.01533734891563654
9,1,4,volatile,0.009207043796777725
10,1,4,volatile,0.013558268547058105
